Ноутбуки/нетбуки Б/У с гарантией! ТерриторияТехники;170,00 р.
БЫСТРО ВЫКУПИМ ВАШ: Ноутбук, Нетбук, Ультрабук, Моноблок в л...;2000,00 р.
Ноутбук ультрабук ASUS ZENBOOK 14 UX433FA гарантия;1700,00 р.
MacBook Pro/ Air/ 15"/ 13" (2019/18/17/16) Низкая цена !;1890,00 р. торг
Б/У НОУТБУКИ-MAC-МОНОБЛОКИ(МОЩНЫЕ-СКОРОСТНЫЕ), ТЕЛЕ-АУДИО-ВИ...;479,00 р.
Б.У. ноутбуки. Рассрочка, кредит, безнал. Гарантия.;150,00 р.
Быстро куплю ноутбук, ультробук, MacBook;3000,00 р.
Куплю НОУТБУК в любом состоянии. Неисправный. Быстро. Выезд.;1000,00 р. торг
Продам ноутбук Dell Latitude 7380;1600,00 р.
Продажа б\\у ноутбуков. Большой выбор. Гарантия;200,00 р.
Apple MacBook Pro/Air/15"/13" (2019/18/17) ВЫГОДНЫЕ ЦЕНЫ !;1860,00 р.
Куплю ноутбук, нетбук б/у.;
Продам игровой ноутбук MSI GL63 8RC-1060JP;1700,00 р.
Dell Inspiron N5110;333,00 р.
Lenovo IdeaPad 300 15 [80M3005JUA];380,00 р. торг
Ноутбук HP ProBook 4545s;250,00 р.
Продам ноутбук Lenovo ideapad 320-15isk с любой ОС под вас;900,00 р.
HP Compaq 6710b;200,00 р.
Ультрабук трансформер Sony vaio Fit 15A;1000,00 р.
Ноутбук ASUS N76V;650,00 р. торг
Ноутбук - трансформер 2в1 ASUS Q504UA 15,6";990,00 р.
Загрузочная флешка;25,00 р.
Dell Precision m6800 i5, 8gb amd Firepro m6100 ssd+hdd;900,00 р.
Куплю ноутбук;
MSI GE63 8RE-211XRU Raider RGB;2500,00 р. торг
MSI GE62 2QC/ i7-5700HQ/8-DDR3/GTX-960M/128-SSD;1025,00 р. торг
ИГРОВОЙ MSI GE60 (i7-4720HQ/8Gb/GTX 950M/256-SSD);850,00 р. торг
Dell Latitude 5590. 15.6" 1920 x 1080 IPS, Intel Core i5 730...;925,00 р. торг
HP Pavilion DV3 по запчастям, или на запчасти.;60,00 р.
MacBook Pro 15" 2016;3500,00 р.
Ноутбук DELL Precision M6500 17.0'' 1920x1200 RGB;910,00 р.
Ноутбук HP ProBook 6455b (SL372UP);159,00 р.
Купим вашу технику!!!;10 000,00 р.
Ноутбук Acer Aspire 3 A315-53G-31RV (NX.H9JEU.029);659,00 р.
Игровой ноутбук ASUS TUF Gaming FX504GM-E4284;1599,00 р.
Ноутбук ASUS VivoBook X540YA-XO751D;309,00 р.
Продам ноутбук ASUS K50IE, состояни 9,5/10;300,00 р. торг
процессор;40,00 р. торг
Ноутбуки Dell Inspiron N7010, ASUS Eee PC 1001PXD;300,00 р.
привода для ноутов;17,00 р.
ноутбук HP Compaq 615;100,00 р. торг
Microsoft Surface 2 Pro (Windows 10 pro);750,00 р. торг
FUJITSU SIEMENS AMILO Li 1705;60,00 р.
Ноутбук HP ProBook 440 G5;1750,00 р.
HP ENVY 15-ae002ur, 4 динамика+саб;850,00 р.
HP stream laptop 11-y001ur;400,00 р.
MacBook Pro 13" Touch Bar (2017 год) [MPXV2];2500,00 р.
MSI CR630;45,00 р.
ноут OmniBook XE3;60,00 р.
Panasonic CF-SZ5BFTQP Toughbook 12'1/i7/16/512/Blu-Ray;3800,00 р.
Ноутбук с процессором INTEL;
Ноутбук Intel i3 i5 i7;
Куплю блок питания для ноутбука 16v. IBM;
Asus zenbook ux32v;699,00 р. торг
MacBook Air'11 256 Gb mid 2013;900,00 р.
Ультрабук Toshiba Portege R830 в отличном состоянии;350,00 р. торг
БУ НОУТБУКИ С ГАРАНТИЕЙ;520,00 р.
Asus n46 VB;499,00 р.
asus 1225;230,00 р.
Ноутбуки Acer, Apple MacBook(КАСТОМ), Asus, MSI, Huawei, Hp,...;1717,69 р.
Продам бизнес ноутбук S-серии Sony vaio pcg-4121dl vpcsa3dgx;600,00 р. торг
